episode,reward
1,18.0
2,14.0
3,12.0
4,18.0
5,17.0
6,9.0
7,15.0
8,20.0
9,17.0
10,45.0
11,9.0
12,23.0
13,21.0
14,13.0
15,14.0
16,39.0
17,22.0
18,57.0
19,14.0
20,17.0
21,9.0
22,12.0
23,13.0
24,12.0
25,16.0
26,40.0
27,16.0
28,11.0
29,19.0
30,23.0
31,18.0
32,22.0
33,16.0
34,11.0
35,27.0
36,41.0
37,18.0
38,25.0
39,29.0
40,25.0
41,16.0
42,21.0
43,14.0
44,22.0
45,17.0
46,13.0
47,20.0
48,83.0
49,14.0
50,14.0
51,16.0
52,25.0
53,17.0
54,11.0
55,12.0
56,20.0
57,13.0
58,15.0
59,26.0
60,29.0
61,19.0
62,11.0
63,23.0
64,13.0
65,14.0
66,11.0
67,24.0
68,20.0
69,13.0
70,26.0
71,36.0
72,25.0
73,29.0
74,17.0
75,19.0
76,17.0
77,10.0
78,9.0
79,41.0
80,8.0
81,20.0
82,22.0
83,17.0
84,16.0
85,13.0
86,34.0
87,12.0
88,34.0
89,22.0
90,9.0
91,16.0
92,20.0
93,13.0
94,26.0
95,19.0
96,13.0
97,17.0
98,22.0
99,45.0
100,13.0
101,34.0
102,21.0
103,58.0
104,22.0
105,24.0
106,96.0
107,23.0
108,23.0
109,18.0
110,19.0
111,21.0
112,39.0
113,63.0
114,19.0
115,28.0
116,22.0
117,12.0
118,46.0
119,27.0
120,14.0
121,30.0
122,60.0
123,50.0
124,10.0
125,23.0
126,19.0
127,11.0
128,46.0
129,63.0
130,38.0
131,17.0
132,42.0
133,58.0
134,53.0
135,58.0
136,45.0
137,29.0
138,60.0
139,36.0
140,16.0
141,22.0
142,14.0
143,62.0
144,34.0
145,20.0
146,31.0
147,26.0
148,70.0
149,18.0
150,87.0
151,48.0
152,36.0
153,146.0
154,107.0
155,32.0
156,116.0
157,97.0
158,119.0
159,14.0
160,105.0
161,64.0
162,159.0
163,11.0
164,37.0
165,107.0
166,77.0
167,54.0
168,45.0
169,70.0
170,53.0
171,123.0
172,105.0
173,127.0
174,23.0
175,35.0
176,54.0
177,133.0
178,131.0
179,116.0
180,67.0
181,109.0
182,157.0
183,138.0
184,131.0
185,25.0
186,59.0
187,11.0
188,73.0
189,76.0
190,148.0
191,29.0
192,86.0
193,123.0
194,159.0
195,26.0
196,92.0
197,105.0
198,42.0
199,26.0
200,135.0
201,37.0
202,126.0
203,118.0
204,99.0
205,62.0
206,74.0
207,91.0
208,90.0
209,152.0
